Specified year (2019), specified month (9)
Total Tracks Unique Artists Unique albums Unique Tracks
     491            55            53           387
  1: ( 33) - Alison Moyet

  2: ( 31) - It's Immaterial
  3: ( 31) - The Doors






  4: ( 24) - Eilen Jewell


  5: ( 21) - Ian McCulloch

  6: ( 19) - Julia Holter
  7: ( 19) - Lloyd Cole
  8: ( 18) - Van Morrison
  9: ( 17) - The French Impressionists
 10: ( 16) - Bob Dylan
 11: ( 16) - Leonard Cohen

 12: ( 14) - Roxy Music
 13: ( 13) - Orchestral Manoeuvres in the Dark
 14: ( 12) - Amanda Shires
 15: ( 12) - Hayes Carll
 16: ( 12) - Japan
 17: ( 12) - The Beatles
 18: ( 12) - The Cure
 19: ( 11) - Elvis Costello & The Attractions
 20: ( 11) - Fleetwood Mac
 21: ( 10) - Josh Ritter
 22: ( 10) - Simple Minds
 23: (  8) - Aztec Camera
 24: (  8) - Martin Stephenson And The Daintees
 25: (  8) - Rod Stewart
 26: (  8) - Talking Heads
 27: (  8) - U2
 28: (  8) - Weekend
 29: (  6) - LCD Soundsystem
 30: (  6) - Stevie Nicks
 31: (  4) - Ezra Furman
 32: (  4) - Kurt Vile
 33: (  3) - Connan Mockasin
 34: (  3) - Elvis Costello & The Imposters
 35: (  3) - Gazelle Twin
 36: (  3) - Gruff Rhys
 37: (  3) - Low
 38: (  3) - Paul Weller
 39: (  3) - Rolling Blackouts Coastal Fever
 40: (  3) - Ry Cooder
 41: (  3) - The Comsat Angels
 42: (  3) - Ty Segall
 43: (  3) - Young Fathers
 44: (  2) - Altered Images
 45: (  2) - Father John Misty
 46: (  2) - The B-52's
 47: (  2) - The Smiths
 48: (  1) - Books and Authors
 49: (  1) - Delacey
 50: (  1) - JCPenney
 51: (  1) - RHCPtv1
 52: (  1) - Rhino
 53: (  1) - Rosalyn
 54: (  1) - VisageVEVO
 55: (  1) - softladification
